,rewards
0,49.80515873015888
1,114.89206349206347
2,103.16666666666667
3,112.19682539682539
4,111.08333333333333
5,131.41349206349207
6,100.0
7,111.14563492063492
8,128.8313492063492
9,143.74246031746037
10,109.14484126984127
11,103.57857142857142
12,125.63888888888889
13,100.0
14,101.5
15,100.0
16,110.66666666666667
17,144.69365079365082
18,130.4023809523809
19,101.0
20,109.5765873015873
21,111.36825396825397
22,100.0
23,106.48333333333333
24,103.33333333333333
25,110.10873015873017
26,137.80238095238096
27,116.29047619047618
28,102.83333333333333
29,102.0
30,100.0
31,124.85277777777779
32,102.0
33,43.74365079365089
34,112.83333333333333
35,117.54206349206349
36,45.51111111111121
37,142.13293650793653
38,152.8936507936509
39,131.72182539682538
40,105.0
41,152.05992063492067
42,53.50436507936517
43,107.33333333333333
44,102.59285714285714
45,102.5
46,110.25
47,139.80515873015875
48,45.2900793650795
49,106.5
50,104.85
51,44.765079365079465
52,128.82460317460317
53,38.00714285714291
54,135.45396825396824
55,149.80952380952385
56,111.52261904761905
57,125.18809523809522
58,104.31666666666666
59,138.11666666666667
60,116.06031746031744
61,161.57539682539692
62,124.55317460317457
63,112.25
64,44.78333333333356
65,123.37817460317459
66,113.11666666666667
67,102.0
68,102.5
69,110.25
70,111.24761904761904
71,106.05277777777778
72,100.0
73,120.21309523809524
74,121.72579365079363
75,105.3
76,108.14722222222223
77,109.0
78,113.86944444444445
79,121.41626984126982
80,108.5345238095238
81,106.17619047619047
82,100.0
83,100.0
84,104.16071428571429
85,106.08333333333333
86,114.12103174603173
87,146.8940476190477
88,105.69285714285714
89,106.55
90,114.04523809523809
91,108.83333333333333
92,138.3293650793651
93,119.89325396825397
94,102.5
95,119.09404761904763
96,129.23531746031745
97,112.93809523809523
98,138.98769841269842
99,142.62420634920636
100,115.67857142857143
101,112.15
102,152.5019841269842
103,102.28333333333333
104,47.144047619047676
105,122.84603174603173
106,103.33333333333333
107,121.91746031746031
108,130.45317460317457
109,139.16746031746032
110,48.496428571428744
111,110.51666666666667
112,117.40555555555554
113,132.69484126984128
114,102.91666666666667
115,126.16547619047617
116,107.41666666666667
117,103.58333333333333
118,131.17857142857142
119,53.24246031746042
120,125.03095238095237
121,103.7452380952381
122,120.44325396825394
123,122.46349206349205
124,110.4968253968254
125,108.16071428571428
126,106.33333333333333
127,122.99722222222222
128,147.13214285714304
129,104.45
130,103.5
131,107.28849206349206
132,103.64642857142857
133,118.16666666666666
134,108.97857142857143
135,55.84166666666675
136,122.70277777777778
137,128.3253968253968
138,101.0
139,116.29206349206349
140,145.99801587301587
141,112.09920634920633
142,150.97817460317472
143,121.44603174603171
144,110.2
145,155.24444444444455
146,103.33333333333333
147,131.10079365079363
148,100.0
149,112.02777777777777
150,118.80000000000001
151,134.77222222222224
152,109.66666666666667
153,126.95952380952379
154,132.28888888888886
155,113.95555555555553
156,100.0
157,120.65992063492064
158,115.14603174603174
159,100.0
160,104.5
161,118.96349206349205
162,103.29285714285714
163,104.5
164,111.82103174603174
165,113.81666666666666
166,105.7
167,107.2
168,116.35
169,103.98412698412699
170,143.29285714285717
171,34.79920634920642
172,122.90952380952379
173,119.76984126984124
174,143.49444444444447
175,101.5
176,56.36150793650809
177,111.58333333333333
178,103.0
179,111.39325396825396
180,104.5
181,141.3666666666667
182,100.0
183,119.31666666666666
184,140.85277777777782
185,119.3
186,114.99960317460317
187,125.975
188,104.33333333333333
189,114.14920634920635
190,105.83333333333333
191,126.23253968253965
192,115.24404761904762
193,111.44642857142857
194,136.07341269841274
195,106.08333333333333
196,51.92658730158739
197,135.70595238095234
198,109.73809523809524
199,110.54484126984127
200,120.05515873015872
201,102.33333333333333
202,117.75992063492062
203,101.0
204,103.93571428571428
205,114.58095238095237
206,102.5
207,117.17936507936508
208,103.0
209,37.080555555555655
210,109.23095238095239
211,106.03015873015873
212,102.08333333333333
213,100.0
214,101.0
215,107.16666666666667
216,118.03214285714284
217,123.95
218,111.68571428571428
219,111.58333333333333
220,130.7829365079365
221,124.67420634920632
222,105.3861111111111
223,125.71309523809522
224,110.040873015873
225,149.53412698412694
226,101.5
227,53.30912698412721
228,106.56666666666666
229,110.03333333333333
230,128.56865079365076
231,132.8547619047619
232,103.71904761904761
233,102.5
234,104.75
235,106.0
236,118.34642857142858
237,110.5
238,104.36666666666666
239,104.0
240,100.0
241,116.05714285714285
242,128.3654761904762
243,136.02301587301585
244,141.92380952380952
245,104.83730158730158
246,105.48333333333333
247,110.07619047619048
248,120.17817460317457
249,106.75
250,110.23373015873017
251,109.33333333333333
252,126.06825396825394
253,103.02896825396826
254,102.5
255,106.76626984126985
256,103.70952380952382
257,110.91666666666667
258,113.20238095238095
259,138.1305555555556
260,105.0
261,120.56666666666666
262,113.83690476190476
263,126.75277777777775
264,104.36666666666666
265,100.0
266,107.9047619047619
267,106.6
268,117.76904761904763
269,102.0
270,134.87103174603178
271,114.0
272,115.86468253968253
273,111.54920634920634
274,107.16666666666667
275,116.33333333333334
276,137.27777777777774
277,110.46666666666667
278,43.90555555555571
279,122.0523809523809
280,108.79722222222222
281,125.19920634920634
282,113.43809523809523
283,107.88571428571429
284,138.46071428571446
285,139.2444444444445
286,106.59404761904761
287,109.28333333333333
288,130.9972222222223
289,118.60198412698409
290,47.53492063492081
291,100.0
292,124.54285714285712
293,113.6047619047619
294,104.75
295,33.30992063492074
296,50.7500000000002
297,110.16666666666667
298,106.16507936507936
299,135.67619047619053
300,47.47341269841297
301,113.91666666666667
302,116.8952380952381
303,105.63174603174603
304,137.42857142857142
305,33.77976190476194
306,113.26547619047619
307,101.0
308,113.27341269841268
309,41.773015873015915
310,131.62976190476186
311,115.97103174603174
312,107.25912698412698
313,53.66666666666697
314,108.81666666666666
315,128.43531746031744
316,108.5
317,111.83333333333333
318,102.5
319,117.27341269841267
320,117.2646825396825
321,109.07738095238095
322,105.0
323,34.70000000000007
324,111.53333333333333
325,111.14484126984127
326,131.76984126984124
327,102.5
328,108.56428571428572
329,103.02896825396826
330,105.31071428571428
331,102.5
332,137.77023809523808
333,102.5
334,105.89404761904763
335,126.64523809523807
336,128.1996031746032
337,115.89166666666667
338,119.73968253968252
339,101.0
340,119.50357142857143
341,110.04246031746032
342,124.86111111111109
343,108.71666666666667
344,116.2
345,112.47261904761905
346,102.91666666666667
347,114.60555555555554
348,101.0
349,127.58333333333333
350,116.72460317460317
351,132.38769841269837
352,105.0
353,109.10119047619047
354,108.23849206349206
355,106.46190476190476
356,136.9011904761905
357,36.43333333333347
358,102.5
359,115.634126984127
360,114.00357142857142
361,102.28333333333333
362,136.8174603174603
363,131.19047619047615
364,122.66269841269839
365,108.49325396825397
366,105.59126984126983
367,108.61904761904762
368,113.50674603174603
369,140.88492063492072
370,58.85277777777787
371,53.83809523809551
372,103.66666666666667
373,112.5
374,102.0
375,118.2535714285714
376,102.0
377,38.648015873015986
378,73.84087301587294
379,100.0
380,113.36666666666667
381,102.5
382,116.43293650793649
383,113.23333333333333
384,116.36666666666667
385,102.91666666666667
386,107.45119047619048
387,115.8551587301587
388,105.31071428571428
389,111.0
390,127.00357142857143
391,103.66666666666667
392,119.9146825396825
393,109.14920634920635
394,105.0
395,108.02460317460317
396,127.7130952380952
397,124.01150793650791
398,127.02619047619048
399,118.57142857142856
400,109.91666666666666
401,113.71349206349207
402,126.12539682539682
403,128.7361111111111
404,104.36666666666666
405,107.17142857142858
406,104.9
407,107.98690476190475
408,113.2154761904762
409,119.66230158730157
410,140.21746031746034
411,105.1595238095238
412,110.45039682539681
413,107.9702380952381
414,123.04285714285714
415,113.84365079365077
416,106.85793650793651
417,102.0
418,125.52301587301585
419,35.04880952380965
420,108.58214285714286
421,127.34801587301587
422,131.11666666666665
423,109.25
424,120.31031746031744
425,127.01746031746029
426,100.0
427,104.29642857142858
428,101.0
429,137.1785714285714
430,112.5313492063492
431,145.5146825396826
432,119.03373015873014
433,105.78809523809524
434,111.96666666666667
435,36.23253968253988
436,106.29285714285714
437,36.06388888888899
438,134.66111111111113
439,105.0
440,125.74999999999999
441,129.34166666666673
442,112.08333333333333
443,122.66428571428571
444,102.5
445,108.46190476190476
446,104.5
447,101.5
448,141.78333333333336
449,117.49801587301586
450,116.52023809523808
451,100.0
452,105.26666666666667
453,105.0
454,108.18333333333334
455,106.86666666666666
456,101.5
457,119.37936507936504
458,102.5
459,115.05674603174602
460,108.55158730158729
461,109.80753968253968
462,156.2734126984128
463,40.99444444444455
464,106.53333333333333
465,108.52420634920635
466,109.13690476190476
467,44.853968253968304
468,100.0
469,31.98055555555561
470,156.7289682539684
471,132.48690476190478
472,109.85039682539683
473,116.68412698412698
474,112.97738095238095
475,131.19087301587305
476,120.25357142857139
477,109.73253968253968
478,111.0
479,116.07023809523807
480,124.24642857142857
481,135.50357142857143
482,102.08333333333333
483,104.36666666666666
484,110.48531746031745
485,36.18571428571436
486,102.41666666666667
487,116.21904761904761
488,31.73888888888899
489,103.98730158730159
490,113.37142857142858
491,70.0515873015873
492,113.03730158730158
493,115.05793650793649
494,124.48333333333332
495,105.91666666666667
496,101.0
497,142.41666666666666
498,100.0
499,100.0
500,101.0
501,53.97976190476222
502,107.75
503,113.00515873015871
504,111.39404761904763
505,105.31071428571428
506,107.23293650793651
507,121.18134920634917
508,114.4797619047619
509,119.05833333333331
510,104.36666666666666
511,32.19841269841275
512,117.80396825396822
513,117.3722222222222
514,111.8956349206349
515,100.0
516,132.8805555555555
517,65.2579365079366
518,111.07460317460317
519,142.05912698412706
520,31.980158730158813
521,100.0
522,108.71666666666667
523,118.83333333333334
524,103.5
525,122.03333333333333
526,130.8511904761905
527,104.97738095238095
528,101.0
529,129.0257936507937
530,106.92579365079365
531,103.86666666666666
532,100.0
533,125.30714285714282
534,100.0
535,36.13055555555571
536,101.0
537,112.7186507936508
538,102.5
539,101.0
540,106.88571428571429
541,106.58571428571429
542,100.0
543,101.0
544,102.5
545,31.94365079365089
546,117.95873015873013
547,100.0
548,46.40634920634934
549,103.70952380952382
550,106.6234126984127
551,111.69682539682539
552,129.79285714285712
553,111.61626984126984
554,102.5
555,102.5
556,122.58690476190475
557,109.41230158730158
558,119.16031746031744
559,107.275
560,103.45
561,37.36388888888911
562,36.99365079365086
563,34.400396825396975
564,107.2984126984127
565,100.0
566,105.31071428571428
567,111.32182539682539
568,101.0
569,101.0
570,106.86666666666666
571,199.38333333333324
572,134.44007936507933
573,115.50357142857142
574,35.17658730158741
575,116.19246031746029
576,104.36666666666666
577,101.5
578,126.16785714285714
579,116.53293650793648
580,128.48134920634922
581,105.31071428571428
582,101.0
583,133.04523809523806
584,101.0
585,135.51468253968258
586,100.0
587,126.44484126984125
588,106.32738095238095
589,105.31071428571428
590,33.62063492063508
591,121.25674603174602
592,110.03928571428571
593,132.85873015873017
594,122.0
595,140.33809523809526
596,111.36547619047619
597,112.25
598,118.91904761904762
599,33.93571428571445
600,101.0
601,39.474206349206604
602,114.36071428571427
603,31.33611111111116
604,136.41666666666666
605,128.58571428571426
606,110.85
607,130.1833333333333
608,36.74246031746037
609,100.0
610,111.84285714285713
611,141.33492063492082
612,107.06190476190476
613,106.06904761904762
614,107.33095238095238
615,102.5
616,113.96071428571429
617,142.33333333333337
618,105.31071428571428
619,125.71587301587306
620,124.29126984126984
621,119.70674603174601
622,100.0
623,107.9718253968254
624,106.10515873015873
625,135.07500000000013
626,127.6952380952381
627,33.49007936507951
628,119.9738095238095
629,107.08333333333333
630,108.90515873015873
631,105.43333333333334
632,101.0
633,121.08690476190473
634,106.73452380952381
635,138.66666666666669
636,147.83333333333337
637,104.36666666666666
638,100.0
639,134.83333333333331
640,102.5
641,34.611904761904725
642,105.31071428571428
643,108.99404761904762
644,124.07500000000002
645,108.73730158730159
646,114.256746031746
647,105.31071428571428
648,126.51746031746029
649,149.35357142857154
650,109.3047619047619
651,104.31071428571428
652,129.7948412698413
653,71.30515873015884
654,31.67777777777787
