,rewards
0,2217.91626984126
1,2322.4587301587276
2,2184.9575396825217
3,2177.413492063486
4,2267.5460317460293
5,2392.978571428564
6,2255.603571428559
7,2256.611904761893
8,2387.7218253968203
9,2309.098015873002
10,2325.1503968253937
11,2295.930952380947
12,2368.398809523799
13,2334.45476190475
14,2249.673015873004
15,2224.127777777755
16,2326.8773809523655
17,2244.171428571406
18,2258.6095238095186
19,2430.388095238071
20,2216.433333333326
21,2326.1051587301545
22,2376.977380952365
23,2146.780158730146
24,2321.34206349203
25,2159.7059523809385
26,2426.0702380952184
27,2210.5555555555175
28,2240.4817460317067
29,2311.0722222222175
30,2010.5535714284958
31,2497.353968253917
32,1967.6988095237284
33,2127.7452380951972
34,1836.1900793649288
35,2410.020634920573
36,2080.517063491986
37,2133.7531746030813
38,2289.3984126983523
39,2069.9599206348935
40,1952.4027777776355
41,2084.9396825395797
42,2296.0345238095633
43,1544.6753968252688
44,2398.728968253916
45,1923.477380952296
46,2100.763888888815
47,2247.9880952380136
48,2125.0999999999526
49,1823.5547619046788
50,2194.3384920634035
51,2191.9456349206507
52,1902.7976190475533
53,2151.6543650792905
54,2257.9575396824807
55,2181.412301587241
56,1464.2202380951908
57,1785.35277777768
58,1803.7206349206201
59,2175.7630952380314
60,1605.9658730158578
61,1848.2043650793642
62,2052.8341269840457
63,2170.5384920634556
64,2423.6623015872447
65,1788.9285714285488
66,2121.40952380942
67,1815.0480158729536
68,1581.7821428570353
69,1780.8837301586343
70,1889.1968253967789
71,1811.5277777776955
72,2106.9507936507925
73,2342.5968253968103
74,1786.276587301522
75,1925.1476190475596
76,1787.6714285713886
77,1885.5222222221457
78,1985.9309523808656
79,1912.062698412642
80,1540.4849206348604
81,1698.6555555555162
82,1979.5742063491682
83,1675.0480158729843
84,2057.399603174517
85,1986.1428571427807
86,1638.5515873015324
87,2194.649999999982
88,1973.670238095182
89,1971.9265873015474
90,2279.5349206348405
91,2300.4742063491735
92,1868.7428571428286
93,2005.89007936506
94,1855.2825396824594
95,2051.0773809523585
96,1961.2142857142474
97,2054.25555555557
98,1754.142460317412
99,2197.1436507935587
100,1788.2091269841387
101,2037.9178571428242
102,2144.2075396825085
103,2420.907936507957
104,1940.702380952355
105,1851.2492063492257
106,1890.9194444444724
107,2016.75753968252
108,2110.391666666682
109,2002.5892857142471
110,1826.0039682539855
111,1932.2805555555826
112,1963.556746031704
113,1826.3900793650487
114,1996.0686507936648
115,2015.684920634865
116,2258.7273809523726
117,2077.825793650714
118,1959.1142857142786
119,1944.4416666666054
120,1816.1202380952132
121,1672.767460317385
122,1762.6095238094415
123,2036.2793650793863
124,2304.1373015872905
125,1606.853968253988
126,2127.1619047619024
