,non_disc_rewards,rewards1,rewards2,rewards3
0,-1421.0299999999986,-4.252651769294061,-10.874256274238295,-59.5382760145484
1,-152.22000000000023,-2.676559623184836,5.889687651287311,40.156981919180694
2,-1122.7200000000007,-3.543021793953158,-6.48603365257134,-38.71897105334175
3,-837.6399999999988,-4.991474634539783,-5.45262535378315,27.992635388989008
4,-1401.0500000000034,-9.464038625549591,-19.268795416141916,-83.9839442579087
5,-1085.9100000000003,-8.49420434562359,-17.921472316002845,-81.13388562537904
6,-1909.6200000000022,-3.53085926289242,-7.203734763296452,-29.91732696960943
7,-1933.81,-4.943560509516575,-11.672949573334868,-82.69065309596799
8,-2337.3200000000015,-9.013038405469429,-17.607204650312784,-88.06104013874565
9,-1984.2400000000043,-9.893051032917262,-19.804146237426544,-73.67442543826922
10,-2522.9399999999964,82.09087611873937,77.25304352620029,3.6813593772458097
11,-2533.270000000002,97.02062817260857,91.39453124743605,23.617474896604616
12,-2529.1499999999983,-3.7218433011044816,-10.575899958306554,-59.15123741988576
13,-2778.619999999999,-3.645856190879442,-10.387363982221995,-81.15993888405272
14,-2721.929999999993,-4.895784714448884,-12.363011843112504,-83.70736616664072
15,-2856.5299999999957,-4.408052515232953,-11.621131721199905,-86.11134196724548
16,-2816.4399999999982,-6.118298739960764,-15.011739024834982,-90.68536871559803
17,-2864.1599999999967,-5.516141643002897,-13.768783384289394,-88.13543421529813
18,-2828.729999999999,-1.1956750860491885,-4.827824472228481,-70.18414029281828
19,-2844.8699999999894,-9.050672744805222,-18.960036152165518,-98.53256314250754
20,-2869.499999999995,-8.99790941369047,-18.73941897056843,-95.70093663323364
21,-2877.4199999999983,-6.789074526373699,-15.764279198782269,-93.29756626916965
22,-2879.8399999999956,-6.9355970244182865,-16.066020001382853,-93.83789395109122
23,-2859.3999999999924,-5.293853469837276,-13.725419316596883,-88.93162682611484
24,-2891.0999999999967,-4.776809738894969,-13.099399837015557,-90.67323443176541
25,-2891.339999999997,-7.514926627572124,-16.967515768103127,-93.67346211598212
26,-2640.209999999998,-6.057088182545457,-14.987291345588417,-92.57512859682622
27,-2928.799999999996,-8.223626067342677,-17.973511131359434,-95.51040823646001
28,-2893.349999999993,-3.4410560545105047,-11.107167431732092,-87.45690226833277
29,-2886.9299999999976,-6.540621826278027,-15.615743106199234,-94.09913806477591
30,-2907.199999999999,-4.5768619624863,-12.717017197212032,-88.65816038288266
31,-2940.4700000000007,-8.484305591358673,-18.24032515978257,-96.26918138890068
32,-2904.049999999995,-6.708632819028262,-15.911321426798242,-93.64841342314483
33,-2884.949999999999,-9.650890270458769,-19.534397980465197,-98.33985310316812
34,-2896.3199999999997,-6.3440676816982275,-14.393582722186116,-90.5957179641893
35,-2903.4399999999996,-6.607978593059084,-15.894299759463815,-94.88255439995395
36,-2891.830000000003,-6.612025241725556,-15.977534749031706,-92.53442589404112
37,-2926.84,-5.6652897586354,-14.3129535656397,-91.14508910517054
38,-2948.680000000001,-9.737542406901643,-19.710308560013786,-99.38994824149698
39,-2892.2499999999973,-4.651090666042792,-13.10567351852375,-90.03585628404177
40,-2918.0699999999983,-9.91950992966675,-19.914341693445614,-99.40440350873541
41,-2919.7999999999993,-9.85319923928816,-19.80135542280064,-98.88359053452314
42,-2931.8500000000013,-8.283232631730538,-17.97541392969514,-97.30019608616098
43,-2934.6499999999983,-9.121541320413307,-19.03603870379103,-98.33709405638979
44,-2932.8699999999985,-9.789775485325931,-19.779404698263875,-98.90098651211136
45,-2949.8699999999976,-9.979999978812838,-19.979982207808142,-99.81251224396524
46,-2925.609999999995,-4.474709343395782,-12.624097629320682,-90.03234160932918
47,-2934.4899999999975,-7.474864461072837,-17.06862235758277,-94.59896214057285
48,-2942.1299999999983,-9.867258703003868,-19.851033742789475,-99.66652645587904
49,-2934.0299999999997,-9.377294151020568,-19.2825469990627,-97.59473169623878
