,rewards
0,-100.00999999999999
1,-149.82
2,45.980000000000004
3,-140.91
4,-144.18
5,91.62
6,56.20000000000001
7,-105.65999999999995
8,97.33
9,-149.54000000000002
10,97.69
11,-106.23999999999992
12,-117.37
13,81.85
14,-143.54
15,94.6
16,-145.49
17,65.03000000000002
18,-148.75
19,-128.56
20,-96.94
21,-124.40999999999997
22,-149.92000000000002
23,-29.689999999999987
24,82.75
25,93.53
26,-132.38
27,-126.13999999999997
28,-56.070000000000014
29,79.63
30,-61.26999999999999
31,-77.05999999999995
32,-132.38999999999996
33,94.99
34,-89.26000000000003
35,-128.51999999999995
36,99.92
37,71.22
38,-122.72999999999996
39,-48.819999999999965
40,-129.13000000000002
41,61.60999999999999
42,-113.66999999999994
43,-108.99
44,-91.26
45,-71.05999999999996
46,-139.93
47,-68.40000000000003
48,-140.32999999999998
49,-96.35999999999999
50,90.99000000000001
51,-86.38000000000001
52,-84.94999999999997
53,-64.04000000000002
54,-121.71000000000001
55,-132.24999999999997
56,-150.0
57,92.92999999999999
58,-137.49
59,-147.76999999999998
60,-1.0599999999999739
61,-104.76000000000002
62,-71.86999999999999
63,-125.49000000000005
64,-150.0
65,99.7
66,91.99
67,-82.58999999999997
68,-60.830000000000005
69,78.68
70,66.49999999999997
71,-64.16000000000001
72,-108.93999999999997
73,-122.15999999999994
74,-145.76000000000002
75,-41.16999999999999
76,-85.33
77,-64.31
78,-145.53000000000003
79,-44.70000000000001
80,-40.37999999999999
81,-131.71
82,-124.80999999999999
83,-94.74000000000001
84,98.89
85,-139.17999999999998
86,-54.25000000000003
87,80.19000000000001
88,-149.38
89,-29.390000000000008
90,-76.68000000000004
91,-127.52999999999999
92,-139.28
93,90.28999999999999
94,-111.67
95,-91.35999999999996
96,-111.6
97,-137.45000000000002
98,-65.43999999999997
99,-97.27999999999999
100,97.96
101,-120.57000000000001
102,99.21
103,-68.26
104,76.77999999999997
105,83.06
106,-84.69
107,99.18
108,82.58
109,-96.57
110,-116.28999999999998
111,-102.26999999999997
112,-115.31
113,-103.73
114,-102.27000000000001
115,86.14999999999999
116,-149.07
117,-146.23999999999998
118,-86.75999999999995
119,99.89
120,-114.26999999999998
121,-142.79999999999998
122,-147.38
123,100.0
124,-143.23999999999998
125,-113.16
126,98.79
127,-141.33999999999997
128,-69.28000000000004
129,-113.74000000000001
130,79.69000000000001
131,98.21
132,-139.25
133,-146.27
134,-145.91
135,-127.40999999999993
136,-138.41000000000003
137,-143.39
138,-133.39
139,63.289999999999985
