,rewards
0,-124.89999999999998
1,-146.65
2,-143.42
3,-121.55999999999992
4,-103.63999999999993
5,77.24
6,-47.489999999999974
7,-47.78
8,-140.97
9,99.51
10,99.79
11,-79.99000000000002
12,-25.660000000000004
13,-129.20999999999998
14,-57.27000000000001
15,-87.23
16,-31.630000000000003
17,-43.630000000000024
18,-88.06
19,-122.97000000000004
20,-57.269999999999996
21,87.11
22,-52.62
23,-90.94
24,-148.03
25,-116.01
26,-121.51
27,-124.82
28,-148.15
29,59.83000000000001
30,-47.90999999999998
31,-78.19000000000001
32,-54.78999999999999
33,-118.64999999999998
34,-141.16
35,88.49000000000001
36,96.84
37,-54.269999999999996
38,-73.85000000000004
39,84.78
40,83.26
41,-44.299999999999976
42,99.64
43,-37.56000000000002
44,-149.41000000000003
45,-31.32
46,-66.08
47,-71.67
48,-32.51999999999999
49,-149.92000000000002
50,-147.28999999999996
51,-119.15000000000002
52,96.36
53,-92.41
54,-48.78000000000001
55,-141.83000000000004
56,-120.52
57,-82.31000000000002
58,99.99
59,-100.95000000000002
60,-102.82000000000005
61,99.97
62,-18.41
63,64.08000000000001
64,-87.88000000000001
65,-91.33999999999997
66,86.44
67,-74.53000000000003
68,4.499999999999943
69,-118.76000000000002
70,-137.48999999999995
71,-117.70000000000009
72,-80.10999999999999
73,-109.68000000000002
74,-58.60000000000001
75,92.62
76,-96.32999999999998
77,-122.15999999999997
78,-78.68000000000004
79,-115.07
80,62.53999999999999
81,58.52
82,-31.980000000000015
83,-104.69000000000003
84,89.94
85,92.92
86,-142.46999999999994
87,99.12
88,-110.72999999999999
89,-92.00999999999996
90,-149.25
91,65.10999999999999
92,-97.83999999999999
93,-99.40000000000003
94,-96.44999999999996
95,82.09
96,-28.079999999999995
97,99.52
98,-41.91000000000002
99,-97.17999999999995
100,-41.38999999999998
101,-126.87
102,-117.56
103,-145.23
104,-113.3
105,92.05
106,-146.89999999999998
107,-147.03
108,-49.940000000000026
109,-88.70000000000003
110,-117.42999999999999
111,27.950000000000003
112,88.28
113,-57.590000000000025
114,96.61
115,-109.66
116,74.1
117,-102.39999999999999
118,-130.72999999999996
119,-108.00000000000003
120,81.17999999999999
121,-149.82999999999998
122,-97.78000000000002
123,-76.85000000000002
124,-85.45999999999997
125,99.46
126,-51.93000000000001
127,-134.67
128,46.699999999999996
129,-121.14999999999998
130,-49.650000000000006
131,77.23
132,99.27
133,-51.680000000000014
134,-56.190000000000005
135,99.66
136,-132.37999999999997
137,-143.3
138,-143.72
139,89.63000000000001
140,-136.10000000000002
141,99.13
142,-100.39999999999995
143,-102.38999999999999
144,-119.00999999999998
145,-107.44999999999996
146,97.93
147,-120.98
148,-147.17000000000002
149,97.01
150,-118.45999999999997
151,71.86
152,-130.78000000000003
153,-146.33999999999997
154,-141.5
155,99.33
156,-122.54
157,-29.459999999999997
158,98.42
159,-145.5
160,-141.85
161,-119.45999999999994
162,86.86
163,99.82
164,-105.45000000000003
165,-133.97000000000003
166,-86.66999999999997
167,12.08999999999999
168,86.4
169,73.28
170,-91.38999999999999
171,71.34
172,83.19999999999999
173,91.82000000000001
174,81.50999999999999
175,40.190000000000026
176,75.20000000000002
177,-38.040000000000006
178,98.52
179,58.950000000000024
180,82.44
181,-148.68
182,82.41999999999999
183,-150.0
184,-45.66
185,99.8
186,97.87
187,-94.08
188,-90.15999999999998
189,-127.61000000000003
190,99.12
191,-63.59999999999997
192,-148.7
193,53.83
194,13.080000000000041
195,-86.26000000000003
196,91.0
197,-79.87
198,-95.37999999999998
199,-144.78
200,-142.9
201,99.07
202,-125.89
203,-149.82999999999998
204,-142.89
205,83.9
206,93.56
207,71.81
208,97.45
209,-114.13
210,-147.38
211,-128.42000000000002
212,-108.37
213,93.98
214,94.88
215,27.620000000000033
216,86.61
217,98.41
218,-132.43999999999997
219,-138.12
220,-134.79000000000002
221,-138.76999999999998
222,-137.76999999999998
223,-145.65999999999997
224,90.82
225,98.98
226,-139.57
227,98.39
228,-90.0
229,-140.79000000000002
230,-135.48
231,100.0
232,-108.19999999999999
233,-147.10999999999999
234,-54.64000000000001
235,-85.9
236,-145.25
237,-148.31
238,-86.83
239,-125.13999999999997
240,-91.89
241,-60.589999999999996
242,-143.70000000000002
243,99.84
244,-150.0
245,85.61
246,99.47
247,-120.76
248,-97.83000000000003
249,98.9
250,-137.45
251,98.12
252,97.55
253,92.18
254,94.26
255,-136.05
256,-108.12000000000002
257,84.47
258,92.88000000000001
259,95.82
260,98.27
261,92.34
262,-149.38
263,-141.45999999999998
264,-142.92000000000002
265,-104.00000000000001
266,39.03000000000002
267,-105.30000000000001
268,-142.28
269,-139.57
270,-135.54
271,-139.25
272,-91.44
273,-100.18999999999998
274,-150.0
275,-90.17999999999999
276,-142.62
277,99.5
278,-98.11999999999999
279,-134.95999999999998
280,-20.199999999999996
281,98.85
282,-146.35999999999999
283,-87.05
284,91.72
285,99.51
286,95.81
287,-149.91
288,80.36
289,99.98
290,-96.77000000000001
291,96.92
292,-129.54000000000002
293,-95.96999999999997
294,-98.46999999999998
295,96.77
296,-145.58999999999995
297,-135.70999999999998
298,97.28
299,99.46
300,94.16
301,92.84
302,99.68
303,99.5
304,-149.54000000000002
305,98.69
306,-149.66
307,99.56
308,84.95
309,99.98
310,99.59
311,94.61
312,96.92
313,-83.76999999999998
314,95.98
315,98.79
316,97.97
317,90.49
318,99.31
319,93.24000000000001
320,96.19
321,-111.99
322,97.76
323,-146.86
324,98.84
325,97.36
326,-132.70999999999998
327,-149.43
328,-141.72
329,99.62
330,92.24
331,90.69
332,-148.38
333,94.45
334,99.55
335,99.55
336,99.89
337,59.27
338,73.23
339,47.79999999999998
340,92.56
341,-142.24999999999997
342,-144.32999999999998
343,85.62
344,99.77
345,-144.57999999999998
346,88.53
347,-145.88
348,-143.8
349,99.16
350,80.84
351,75.87
352,-149.06
353,-115.66000000000001
354,-116.21000000000002
355,42.01999999999999
356,93.7
357,-125.36
358,99.55
359,-146.54999999999995
360,94.62
361,-146.21
362,-137.8
363,98.74
364,-144.26999999999998
365,-138.04999999999995
366,-149.12
367,98.42999999999999
368,-147.32999999999998
369,72.17
370,99.76
371,94.61
372,96.2
373,92.24000000000001
374,99.28
375,94.55
376,96.14
377,94.87
378,97.58
379,99.33
380,-128.04
381,-144.32999999999998
382,90.91
383,83.91
384,-140.18
385,98.5
386,97.84
387,95.91
388,77.7
389,91.12
390,90.53
391,-146.88999999999993
392,93.72
393,-142.89999999999998
394,93.75
395,-135.73
396,-147.26
397,-143.91
398,-146.0
399,-149.76
400,90.56
401,-118.90999999999998
402,98.22
403,94.68
404,-149.07999999999998
405,-138.4
406,-146.93
407,-149.12
408,96.36
409,71.92
410,93.32
411,99.73
412,94.74
413,99.26
414,96.0
415,91.1
416,84.85
417,-111.63000000000001
418,99.43
419,93.67
420,82.72
421,100.0
422,86.31
423,76.6
424,98.42
425,84.89
426,97.59
427,93.45
428,47.97999999999998
429,91.33
430,90.7
431,94.52000000000001
432,99.87
433,96.55
434,94.52
435,81.53
436,77.05
437,97.75
438,96.16
439,98.94
440,96.53
441,97.2
442,89.17999999999999
443,72.87
444,96.64
445,-145.29999999999995
446,91.15
447,99.23
448,97.09
449,76.94
450,99.92
451,-127.98
452,82.44000000000001
453,99.61
454,95.73
455,95.33
456,98.91
457,93.87
458,97.67
459,-144.98000000000002
460,94.36
461,99.36
462,98.87
463,84.11
464,99.07
465,99.8
466,96.81
467,91.56
468,100.0
469,99.81
470,98.67999999999999
471,96.29
472,-145.07000000000002
473,96.74000000000001
474,99.46
475,-143.91
476,99.65
477,90.47
478,87.04
479,90.78
480,99.56
481,90.86
482,48.35000000000002
483,89.1
484,93.93
485,99.83
486,97.59
487,99.4
488,-128.14999999999998
489,100.0
490,94.21000000000001
491,99.61
492,100.0
493,94.78
494,98.66
495,-141.38999999999996
496,98.36
497,95.81
498,98.36
499,91.38
500,-149.25
501,91.81
502,99.9
503,-144.2
504,99.51
505,-148.84999999999997
506,99.27
507,-146.02
508,-149.44
509,-147.55
510,-132.51
511,-149.24
512,96.81
513,96.03
514,99.94
515,90.58
516,92.35000000000001
517,99.06
518,94.32
519,99.3
520,99.0
521,99.01
522,99.2
523,-148.88
524,20.110000000000014
525,98.48
526,94.7
527,98.84
528,-137.76999999999995
529,-148.39
530,98.13
531,90.05
532,92.56
533,98.56
534,95.66
535,-136.14999999999998
536,97.19
537,99.36
538,-143.44
539,96.94
540,-144.18
541,94.8
542,86.88
543,98.08
544,92.96
545,94.6
546,99.92
547,97.87
548,99.46
549,-148.93
550,73.32
551,97.48
552,96.87
553,94.36
554,-148.6
555,99.95
556,97.63
557,-149.32999999999998
558,99.6
559,98.72
560,93.27
561,96.31
562,91.06
563,95.72
564,-142.63
565,98.11
566,-149.38
567,94.59
568,99.86
569,-146.48000000000002
570,95.03
571,99.77
572,99.71
573,93.78
574,-101.1
575,93.52000000000001
576,97.3
577,-147.44
578,93.7
579,94.06
580,93.96000000000001
581,92.22
582,93.24000000000001
583,94.31
584,94.08
585,99.42
586,91.24000000000001
587,92.86
588,96.83
589,96.14
590,-145.92
591,99.6
592,96.79
593,98.13
594,-131.04999999999998
595,-144.01999999999998
596,88.55000000000001
597,90.94
598,-147.57
599,97.85
600,98.77
601,92.54
602,96.72
603,97.28
604,99.6
605,99.81
606,-123.65000000000002
607,94.3
608,99.25
609,99.53
610,98.31
611,96.38
612,99.69
613,99.9
614,99.67
615,98.58
616,99.79
617,-147.87
618,91.85000000000001
619,-146.16
620,91.9
621,-144.15
622,98.5
623,86.60000000000001
624,-148.67000000000002
625,97.55
626,99.07
627,-145.95999999999998
628,95.95
629,96.43
630,-143.47
631,98.22
632,-138.67000000000002
633,-148.36
634,98.39
635,-146.72
636,97.62
637,96.77
638,92.67
639,96.81
640,93.42999999999999
641,98.24
642,99.92
643,92.88000000000001
644,98.45
645,97.81
646,98.21
647,-140.59
648,-148.12
649,95.47
650,-23.939999999999998
651,80.85000000000002
652,97.94
653,99.92
654,99.98
